+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5205   |
| epoch 2  |   0.4095   |
| epoch 3  |   0.3685   |
| epoch 4  |   0.3365   |
| epoch 5  |   0.3103   |
| epoch 6  |   0.2863   |
| epoch 7  |   0.2715   |
| epoch 8  |   0.2506   |
| epoch 9  |   0.2385   |
| epoch 10 |   0.2234   |
| epoch 11 |   0.2116   |
| epoch 12 |   0.2003   |
| epoch 13 |   0.1889   |
| epoch 14 |   0.1784   |
| epoch 15 |   0.1711   |
| epoch 16 |   0.1613   |
| epoch 17 |   0.1544   |
| epoch 18 |   0.1465   |
| epoch 19 |   0.1409   |
| epoch 20 |   0.1357   |
| epoch 21 |   0.1292   |
| epoch 22 |   0.1251   |
| epoch 23 |   0.1203   |
| epoch 24 |   0.1118   |
| epoch 25 |   0.1096   |
| epoch 26 |   0.1061   |
| epoch 27 |   0.1031   |
| epoch 28 |   0.0968   |
| epoch 29 |   0.0919   |
| epoch 30 |   0.0921   |
| epoch 31 |   0.0886   |
| epoch 32 |   0.0872   |
| epoch 33 |   0.0798   |
| epoch 34 |   0.0793   |
| epoch 35 |   0.0800   |
| epoch 36 |   0.0757   |
| epoch 37 |   0.0746   |
| epoch 38 |   0.0733   |
| epoch 39 |   0.0741   |
| epoch 40 |   0.0675   |
| epoch 41 |   0.0679   |
| epoch 42 |   0.0647   |
| epoch 43 |   0.0631   |
| epoch 44 |   0.0610   |
| epoch 45 |   0.0594   |
| epoch 46 |   0.0615   |
| epoch 47 |   0.0582   |
| epoch 48 |   0.0548   |
| epoch 49 |   0.0568   |
| epoch 50 |   0.0552   |
| epoch 51 |   0.0548   |
| epoch 52 |   0.0530   |
| epoch 53 |   0.0539   |
| epoch 54 |   0.0516   |
| epoch 55 |   0.0501   |
| epoch 56 |   0.0487   |
| epoch 57 |   0.0468   |
| epoch 58 |   0.0460   |
| epoch 59 |   0.0456   |
| epoch 60 |   0.0458   |
| epoch 61 |   0.0454   |
| epoch 62 |   0.0440   |
| epoch 63 |   0.0462   |
| epoch 64 |   0.0465   |
| epoch 65 |   0.0442   |
| epoch 66 |   0.0422   |
| epoch 67 |   0.0396   |
| epoch 68 |   0.0372   |
| epoch 69 |   0.0359   |
| epoch 70 |   0.0281   |
| epoch 71 |   0.0253   |
| epoch 72 |   0.0235   |
| epoch 73 |   0.0222   |
| epoch 74 |   0.0237   |
| epoch 75 |   0.0209   |
| epoch 76 |   0.0208   |
| epoch 77 |   0.0207   |
| epoch 78 |   0.0208   |
| epoch 79 |   0.0220   |
| epoch 80 |   0.0231   |
| epoch 81 |   0.0221   |
| epoch 82 |   0.0211   |
| epoch 83 |   0.0185   |
| epoch 84 |   0.0161   |
| epoch 85 |   0.0155   |
| epoch 86 |   0.0145   |
| epoch 87 |   0.0152   |
| epoch 88 |   0.0148   |
| epoch 89 |   0.0160   |
| epoch 90 |   0.0146   |
| epoch 91 |   0.0140   |
| epoch 92 |   0.0148   |
+----------+------------+
