+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5940   |
| epoch 2  |   0.5064   |
| epoch 3  |   0.4533   |
| epoch 4  |   0.4225   |
| epoch 5  |   0.3923   |
| epoch 6  |   0.3674   |
| epoch 7  |   0.3500   |
| epoch 8  |   0.3306   |
| epoch 9  |   0.3089   |
| epoch 10 |   0.2937   |
| epoch 11 |   0.2727   |
| epoch 12 |   0.2584   |
| epoch 13 |   0.2456   |
| epoch 14 |   0.2307   |
| epoch 15 |   0.2095   |
| epoch 16 |   0.1983   |
| epoch 17 |   0.1826   |
| epoch 18 |   0.1708   |
| epoch 19 |   0.1572   |
| epoch 20 |   0.1458   |
| epoch 21 |   0.1345   |
| epoch 22 |   0.1225   |
| epoch 23 |   0.1123   |
| epoch 24 |   0.1094   |
| epoch 25 |   0.0994   |
| epoch 26 |   0.0932   |
| epoch 27 |   0.0914   |
| epoch 28 |   0.0820   |
| epoch 29 |   0.0817   |
| epoch 30 |   0.0743   |
| epoch 31 |   0.0667   |
| epoch 32 |   0.0669   |
| epoch 33 |   0.0613   |
| epoch 34 |   0.0592   |
| epoch 35 |   0.0613   |
| epoch 36 |   0.0563   |
| epoch 37 |   0.0596   |
| epoch 38 |   0.0563   |
| epoch 39 |   0.0519   |
| epoch 40 |   0.0422   |
| epoch 41 |   0.0457   |
| epoch 42 |   0.0427   |
| epoch 43 |   0.0425   |
| epoch 44 |   0.0478   |
| epoch 45 |   0.0445   |
| epoch 46 |   0.0424   |
| epoch 47 |   0.0407   |
| epoch 48 |   0.0258   |
| epoch 49 |   0.0203   |
| epoch 50 |   0.0190   |
| epoch 51 |   0.0157   |
| epoch 52 |   0.0151   |
| epoch 53 |   0.0154   |
| epoch 54 |   0.0142   |
| epoch 55 |   0.0128   |
| epoch 56 |   0.0144   |
| epoch 57 |   0.0147   |
| epoch 58 |   0.0140   |
| epoch 59 |   0.0148   |
| epoch 60 |   0.0133   |
| epoch 61 |   0.0153   |
| epoch 62 |   0.0122   |
| epoch 63 |   0.0097   |
| epoch 64 |   0.0089   |
| epoch 65 |   0.0092   |
| epoch 66 |   0.0090   |
| epoch 67 |   0.0087   |
| epoch 68 |   0.0075   |
| epoch 69 |   0.0078   |
| epoch 70 |   0.0090   |
| epoch 71 |   0.0074   |
| epoch 72 |   0.0080   |
| epoch 73 |   0.0092   |
| epoch 74 |   0.0080   |
| epoch 75 |   0.0075   |
| epoch 76 |   0.0073   |
| epoch 77 |   0.0082   |
| epoch 78 |   0.0066   |
+----------+------------+
