+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.4592   |
| epoch 2  |   0.2874   |
| epoch 3  |   0.2062   |
| epoch 4  |   0.1526   |
| epoch 5  |   0.1175   |
| epoch 6  |   0.0898   |
| epoch 7  |   0.0720   |
| epoch 8  |   0.0543   |
| epoch 9  |   0.0424   |
| epoch 10 |   0.0324   |
| epoch 11 |   0.0321   |
| epoch 12 |   0.0226   |
| epoch 13 |   0.0194   |
| epoch 14 |   0.0153   |
| epoch 15 |   0.0149   |
| epoch 16 |   0.0170   |
| epoch 17 |   0.0114   |
| epoch 18 |   0.0117   |
| epoch 19 |   0.0094   |
| epoch 20 |   0.0106   |
| epoch 21 |   0.0087   |
| epoch 22 |   0.0062   |
| epoch 23 |   0.0068   |
| epoch 24 |   0.0058   |
| epoch 25 |   0.0048   |
| epoch 26 |   0.0042   |
| epoch 27 |   0.0049   |
| epoch 28 |   0.0046   |
| epoch 29 |   0.0037   |
| epoch 30 |   0.0042   |
| epoch 31 |   0.0037   |
| epoch 32 |   0.0036   |
| epoch 33 |   0.0036   |
| epoch 34 |   0.0035   |
| epoch 35 |   0.0034   |
| epoch 36 |   0.0047   |
| epoch 37 |   0.0047   |
| epoch 38 |   0.0043   |
| epoch 39 |   0.0041   |
| epoch 40 |   0.0048   |
| epoch 41 |   0.0035   |
| epoch 42 |   0.0046   |
| epoch 43 |   0.0029   |
| epoch 44 |   0.0023   |
| epoch 45 |   0.0020   |
| epoch 46 |   0.0019   |
| epoch 47 |   0.0018   |
| epoch 48 |   0.0023   |
| epoch 49 |   0.0020   |
| epoch 50 |   0.0025   |
| epoch 51 |   0.0023   |
| epoch 52 |   0.0024   |
+----------+------------+
