+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5573   |
| epoch 2  |   0.4088   |
| epoch 3  |   0.3309   |
| epoch 4  |   0.2796   |
| epoch 5  |   0.2349   |
| epoch 6  |   0.2002   |
| epoch 7  |   0.1688   |
| epoch 8  |   0.1516   |
| epoch 9  |   0.1269   |
| epoch 10 |   0.1102   |
| epoch 11 |   0.0956   |
| epoch 12 |   0.0799   |
| epoch 13 |   0.0858   |
| epoch 14 |   0.0666   |
| epoch 15 |   0.0636   |
| epoch 16 |   0.0541   |
| epoch 17 |   0.0457   |
| epoch 18 |   0.0466   |
| epoch 19 |   0.0401   |
| epoch 20 |   0.0363   |
| epoch 21 |   0.0298   |
| epoch 22 |   0.0284   |
| epoch 23 |   0.0271   |
| epoch 24 |   0.0295   |
| epoch 25 |   0.0234   |
| epoch 26 |   0.0195   |
| epoch 27 |   0.0184   |
| epoch 28 |   0.0148   |
| epoch 29 |   0.0153   |
| epoch 30 |   0.0139   |
| epoch 31 |   0.0133   |
| epoch 32 |   0.0135   |
| epoch 33 |   0.0117   |
| epoch 34 |   0.0109   |
| epoch 35 |   0.0116   |
| epoch 36 |   0.0119   |
| epoch 37 |   0.0129   |
| epoch 38 |   0.0102   |
| epoch 39 |   0.0100   |
| epoch 40 |   0.0117   |
| epoch 41 |   0.0104   |
| epoch 42 |   0.0095   |
| epoch 43 |   0.0093   |
| epoch 44 |   0.0095   |
| epoch 45 |   0.0084   |
| epoch 46 |   0.0080   |
| epoch 47 |   0.0080   |
| epoch 48 |   0.0086   |
| epoch 49 |   0.0085   |
| epoch 50 |   0.0070   |
| epoch 51 |   0.0072   |
| epoch 52 |   0.0070   |
| epoch 53 |   0.0070   |
| epoch 54 |   0.0070   |
| epoch 55 |   0.0066   |
| epoch 56 |   0.0075   |
| epoch 57 |   0.0068   |
| epoch 58 |   0.0067   |
| epoch 59 |   0.0064   |
| epoch 60 |   0.0062   |
+----------+------------+
